,Current Angular Velocity,Goal Side,Left Observer Detection,Center Observer Detection,Right Observer Detection,Output
173,Sharp Right,Left,Not Detected,Far,Far,Left
174,Sharp Right,Left,Close,Not Detected,Far,Left
175,Sharp Right,Left,Far,Not Detected,Far,Left
176,Sharp Right,Left,Not Detected,Not Detected,Far,Left
177,Sharp Right,Left,Close,Close,Not Detected,Left
178,Sharp Right,Left,Far,Close,Not Detected,Left
179,Sharp Right,Left,Not Detected,Close,Not Detected,Left
180,Sharp Right,Left,Close,Far,Not Detected,Left
181,Sharp Right,Left,Far,Far,Not Detected,Left
182,Sharp Right,Left,Not Detected,Far,Not Detected,Left
183,Sharp Right,Left,Close,Not Detected,Not Detected,Left
184,Sharp Right,Left,Far,Not Detected,Not Detected,Left
185,Sharp Right,Left,Not Detected,Not Detected,Not Detected,Left
186,Right,Left,Close,Close,Close,Right
187,Right,Left,Far,Close,Close,Right
188,Right,Left,Not Detected,Close,Close,Left
189,Right,Left,Close,Far,Close,Right
190,Right,Left,Far,Far,Close,Right
191,Right,Left,Not Detected,Far,Close,Left
192,Right,Left,Close,Not Detected,Close,Right
193,Right,Left,Far,Not Detected,Close,Right
194,Right,Left,Not Detected,Not Detected,Close,Left
195,Right,Left,Close,Close,Far,Right
196,Right,Left,Far,Close,Far,Right
197,Right,Left,Not Detected,Close,Far,Right
198,Right,Left,Close,Far,Far,Right
199,Right,Left,Far,Far,Far,Straight
200,Right,Left,Not Detected,Far,Far,Left
201,Right,Left,Close,Not Detected,Far,Right
202,Right,Left,Far,Not Detected,Far,Straight
203,Right,Left,Not Detected,Not Detected,Far,Left
204,Right,Left,Close,Close,Not Detected,Right
205,Right,Left,Far,Close,Not Detected,Right
206,Right,Left,Not Detected,Close,Not Detected,Right
207,Right,Left,Close,Far,Not Detected,Right
208,Right,Left,Far,Far,Not Detected,Right
209,Right,Left,Not Detected,Far,Not Detected,Straight
210,Right,Left,Close,Not Detected,Not Detected,Right
211,Right,Left,Far,Not Detected,Not Detected,Right
212,Sharp Right,Front,Close,Close,Close,Left
213,Sharp Right,Right,Close,Close,Close,Left
214,Sharp Right,Front,Far,Close,Close,Left
215,Sharp Right,Right,Far,Close,Close,Left
216,Sharp Right,Front,Not Detected,Close,Close,Left
217,Sharp Right,Right,Not Detected,Close,Close,Left
218,Sharp Right,Front,Close,Far,Close,Left
219,Sharp Right,Right,Close,Far,Close,Left
220,Sharp Right,Front,Far,Far,Close,Left
221,Sharp Right,Right,Far,Far,Close,Left
222,Sharp Right,Front,Not Detected,Far,Close,Left
223,Sharp Right,Right,Not Detected,Far,Close,Left
224,Sharp Right,Front,Close,Not Detected,Close,Straight
225,Sharp Right,Right,Close,Not Detected,Close,Straight
226,Sharp Right,Front,Far,Not Detected,Close,Left
227,Sharp Right,Right,Far,Not Detected,Close,Left
228,Sharp Right,Front,Not Detected,Not Detected,Close,Left
229,Sharp Right,Right,Not Detected,Not Detected,Close,Left
230,Sharp Right,Front,Close,Close,Far,Left
231,Sharp Right,Right,Close,Close,Far,Left
232,Sharp Right,Front,Far,Close,Far,Left
233,Sharp Right,Right,Far,Close,Far,Left
234,Sharp Right,Front,Not Detected,Close,Far,Left
235,Sharp Right,Right,Not Detected,Close,Far,Left
236,Sharp Right,Front,Close,Far,Far,Left
237,Sharp Right,Right,Close,Far,Far,Left
238,Sharp Right,Front,Far,Far,Far,Left
239,Sharp Right,Right,Far,Far,Far,Left
240,Sharp Right,Front,Not Detected,Far,Far,Left
241,Sharp Right,Right,Not Detected,Far,Far,Left
242,Sharp Right,Front,Close,Not Detected,Far,Left
243,Sharp Right,Right,Close,Not Detected,Far,Left
244,Sharp Right,Front,Far,Not Detected,Far,Left
245,Sharp Right,Right,Far,Not Detected,Far,Left
246,Sharp Right,Front,Not Detected,Not Detected,Far,Left
247,Sharp Right,Right,Not Detected,Not Detected,Far,Left
248,Sharp Right,Front,Close,Close,Not Detected,Left
249,Sharp Right,Right,Close,Close,Not Detected,Left
250,Sharp Right,Front,Far,Close,Not Detected,Left
251,Sharp Right,Right,Far,Close,Not Detected,Left
252,Sharp Right,Front,Not Detected,Close,Not Detected,Left
253,Sharp Right,Right,Not Detected,Close,Not Detected,Left
254,Sharp Right,Front,Close,Far,Not Detected,Left
255,Sharp Right,Right,Close,Far,Not Detected,Left
256,Sharp Right,Front,Far,Far,Not Detected,Left
257,Sharp Right,Right,Far,Far,Not Detected,Left
258,Sharp Right,Front,Not Detected,Far,Not Detected,Left
259,Sharp Right,Right,Not Detected,Far,Not Detected,Left
260,Sharp Right,Front,Close,Not Detected,Not Detected,Left
261,Sharp Right,Right,Close,Not Detected,Not Detected,Left
262,Sharp Right,Front,Far,Not Detected,Not Detected,Left
263,Sharp Right,Right,Far,Not Detected,Not Detected,Left
264,Sharp Right,Front,Not Detected,Not Detected,Not Detected,Left
265,Sharp Right,Right,Not Detected,Not Detected,Not Detected,Left
266,Right,Front,Close,Close,Close,Right
267,Right,Right,Close,Close,Close,Right
268,Right,Front,Far,Close,Close,Right
269,Right,Right,Far,Close,Close,Right
270,Right,Front,Not Detected,Close,Close,Left
271,Right,Right,Not Detected,Close,Close,Left
272,Right,Front,Close,Far,Close,Right
273,Right,Right,Close,Far,Close,Right
274,Right,Front,Far,Far,Close,Right
275,Right,Right,Far,Far,Close,Right
276,Right,Front,Not Detected,Far,Close,Left
277,Right,Right,Not Detected,Far,Close,Left
278,Right,Front,Close,Not Detected,Close,Right
279,Right,Right,Close,Not Detected,Close,Right
280,Right,Front,Far,Not Detected,Close,Right
281,Right,Right,Far,Not Detected,Close,Right
282,Right,Front,Not Detected,Not Detected,Close,Left
283,Right,Right,Not Detected,Not Detected,Close,Left
284,Right,Front,Close,Close,Far,Right
285,Right,Right,Close,Close,Far,Right
286,Right,Front,Far,Close,Far,Right
287,Right,Right,Far,Close,Far,Right
288,Right,Front,Not Detected,Close,Far,Right
289,Right,Right,Not Detected,Close,Far,Right
290,Right,Front,Close,Far,Far,Right
291,Right,Right,Close,Far,Far,Right
292,Right,Front,Far,Far,Far,Straight
293,Right,Right,Far,Far,Far,Straight
294,Right,Front,Not Detected,Far,Far,Left
295,Right,Right,Not Detected,Far,Far,Left
296,Right,Front,Close,Not Detected,Far,Right
297,Right,Right,Close,Not Detected,Far,Right
298,Right,Front,Far,Not Detected,Far,Straight
299,Right,Right,Far,Not Detected,Far,Straight
300,Right,Front,Not Detected,Not Detected,Far,Left
301,Right,Right,Not Detected,Not Detected,Far,Left
302,Right,Front,Close,Close,Not Detected,Right
303,Right,Right,Close,Close,Not Detected,Right
304,Right,Front,Far,Close,Not Detected,Right
305,Right,Right,Far,Close,Not Detected,Right
306,Right,Front,Not Detected,Close,Not Detected,Right
307,Right,Right,Not Detected,Close,Not Detected,Right
308,Right,Front,Close,Far,Not Detected,Right
309,Right,Right,Close,Far,Not Detected,Right
310,Right,Front,Far,Far,Not Detected,Right
311,Right,Right,Far,Far,Not Detected,Right
312,Right,Front,Not Detected,Far,Not Detected,Straight
313,Right,Right,Not Detected,Far,Not Detected,Straight
314,Right,Front,Close,Not Detected,Not Detected,Right
